num_cities,num_procs,speed,num_cores,milestone,length,route
15,2,6.237274,0,Milestone 2,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
15,3,4.180263,0,Milestone 2,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
14,8,15.983270,0,Milestone 2,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
15,4,6.508116,0,Milestone 2,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
15,7,4.569936,0,Milestone 2,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
15,6,7.281983,0,Milestone 2,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
15,5,12.994477,0,Milestone 2,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
15,9,7.533584,0,Milestone 2,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
15,10,6.904105,0,Milestone 2,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
15,32,2.148811,0,Milestone 2,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
15,64,2.383486,0,Milestone 2,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
15,8,16.837966,0,Milestone 2,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
17,1,635.114336,0,Milestone 2,1908.243606,0 14 13 12 2 6 4 3 16 8 11 7 15 5 10 9 1 
16,1,27.486473,0,Milestone 2,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
16,3,28.675899,0,Milestone 2,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
17,1,492.405704,0,Milestone 2,1908.243606,0 14 13 12 2 6 4 3 16 8 11 7 15 5 10 9 1 
16,4,36.313332,0,Milestone 2,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
16,6,36.244644,0,Milestone 2,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
6,1,0.002495,0,Milestone 2,1568.914868,0 2 4 3 5 1 
6,2,0.003193,0,Milestone 2,1568.914868,0 2 4 3 5 1 
16,2,42.324101,0,Milestone 2,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
6,3,0.002012,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,4,0.002383,0,Milestone 2,1568.914868,0 2 4 3 5 1 
16,8,26.273433,0,Milestone 2,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
6,6,0.016476,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,7,0.004515,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,5,0.002701,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,8,0.012027,0,Milestone 2,1568.914868,0 1 5 3 4 2 
16,5,39.955469,0,Milestone 2,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
6,10,0.004238,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,16,0.008947,0,Milestone 2,1568.914868,0 1 5 3 4 2 
12,1,0.178281,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,2,0.135821,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,3,0.110586,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,4,0.104915,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
